Feature,Coefficient
lh_inferiorparietal-lh_middletemporal,-0.0
lh_inferiorparietal-lh_parahippocampal,-0.0
lh_inferiorparietal-lh_paracentral,-0.0
lh_inferiorparietal-lh_parsopercularis,0.0
lh_inferiorparietal-lh_parsorbitalis,-0.0
lh_inferiorparietal-lh_parstriangularis,0.0
lh_inferiorparietal-lh_pericalcarine,0.0
lh_inferiorparietal-lh_postcentral,0.0
lh_inferiorparietal-lh_posteriorcingulate,-0.0
lh_inferiorparietal-lh_precentral,0.0
lh_inferiorparietal-lh_precuneus,0.0
lh_inferiorparietal-lh_rostralanteriorcingulate,0.0
lh_inferiorparietal-lh_rostralmiddlefrontal,0.003080367805044214
lh_inferiorparietal-lh_superiorfrontal,-0.0
lh_inferiorparietal-lh_superiorparietal,0.0
lh_inferiorparietal-lh_superiortemporal,-0.0
lh_inferiorparietal-lh_supramarginal,0.0
lh_inferiorparietal-lh_frontalpole,-0.0
lh_inferiorparietal-lh_temporalpole,-0.0
lh_inferiorparietal-lh_transversetemporal,0.0
lh_inferiorparietal-lh_insula,-0.0
lh_inferiorparietal-rh_bankssts,-0.0
lh_inferiorparietal-rh_caudalanteriorcingulate,-0.0
lh_inferiorparietal-rh_caudalmiddlefrontal,0.0
lh_inferiorparietal-rh_cuneus,0.0
lh_inferiorparietal-rh_entorhinal,-0.0
lh_inferiorparietal-rh_fusiform,-0.0
lh_inferiorparietal-rh_inferiorparietal,0.0
lh_inferiorparietal-rh_inferiortemporal,-0.0
lh_inferiorparietal-rh_isthmuscingulate,0.0
lh_inferiorparietal-rh_lateraloccipital,0.0
lh_inferiorparietal-rh_lateralorbitofrontal,-0.01321231908934372
lh_inferiorparietal-rh_lingual,0.0
lh_inferiorparietal-rh_medialorbitofrontal,-0.0
lh_inferiorparietal-rh_middletemporal,-0.0
lh_inferiorparietal-rh_parahippocampal,0.0
lh_inferiorparietal-rh_paracentral,0.0
lh_inferiorparietal-rh_parsopercularis,-0.0
lh_inferiorparietal-rh_parsorbitalis,-0.0
lh_inferiorparietal-rh_parstriangularis,0.0
lh_inferiorparietal-rh_pericalcarine,0.0
lh_inferiorparietal-rh_postcentral,0.0
lh_inferiorparietal-rh_posteriorcingulate,-0.0
lh_inferiorparietal-rh_precentral,0.0
lh_inferiorparietal-rh_precuneus,0.0
lh_inferiorparietal-rh_rostralanteriorcingulate,0.0
lh_inferiorparietal-rh_rostralmiddlefrontal,0.0
lh_inferiorparietal-rh_superiorfrontal,0.0
lh_inferiorparietal-rh_superiorparietal,0.0
lh_inferiorparietal-rh_superiortemporal,-0.0013387960678832023
lh_inferiorparietal-rh_supramarginal,-0.0
lh_inferiorparietal-rh_frontalpole,-0.0
lh_inferiorparietal-rh_temporalpole,-0.0
lh_inferiorparietal-rh_transversetemporal,0.0
lh_inferiorparietal-rh_insula,-0.0
lh_inferiortemporal-lh_isthmuscingulate,0.0
lh_inferiortemporal-lh_lateraloccipital,-0.0
lh_inferiortemporal-lh_lateralorbitofrontal,0.0
lh_inferiortemporal-lh_lingual,0.0
lh_inferiortemporal-lh_medialorbitofrontal,0.0
lh_inferiortemporal-lh_middletemporal,0.0
lh_inferiortemporal-lh_parahippocampal,0.0
lh_inferiortemporal-lh_paracentral,-0.0
lh_inferiortemporal-lh_parsopercularis,-0.0
lh_inferiortemporal-lh_parsorbitalis,-0.0
lh_inferiortemporal-lh_parstriangularis,-0.0
lh_inferiortemporal-lh_pericalcarine,0.0
lh_inferiortemporal-lh_postcentral,0.0
lh_inferiortemporal-lh_posteriorcingulate,0.029356043729930583
lh_inferiortemporal-lh_precentral,0.0
lh_inferiortemporal-lh_precuneus,0.0
lh_inferiortemporal-lh_rostralanteriorcingulate,0.016851817990960815
lh_inferiortemporal-lh_rostralmiddlefrontal,-0.0
lh_inferiortemporal-lh_superiorfrontal,0.0
lh_inferiortemporal-lh_superiorparietal,-0.0
lh_inferiortemporal-lh_superiortemporal,0.0
lh_inferiortemporal-lh_supramarginal,-0.0
lh_inferiortemporal-lh_frontalpole,0.0
lh_inferiortemporal-lh_temporalpole,0.002432624068037581
lh_inferiortemporal-lh_transversetemporal,0.0
lh_inferiortemporal-lh_insula,0.01129345206623799
lh_inferiortemporal-rh_bankssts,0.0
lh_inferiortemporal-rh_caudalanteriorcingulate,0.0
lh_inferiortemporal-rh_caudalmiddlefrontal,-0.0
lh_inferiortemporal-rh_cuneus,0.0
lh_inferiortemporal-rh_entorhinal,0.0
lh_inferiortemporal-rh_fusiform,0.0
lh_inferiortemporal-rh_inferiorparietal,-0.0
lh_inferiortemporal-rh_inferiortemporal,-0.0
lh_inferiortemporal-rh_isthmuscingulate,-0.0
lh_inferiortemporal-rh_lateraloccipital,-0.0
lh_inferiortemporal-rh_lateralorbitofrontal,0.0
lh_inferiortemporal-rh_lingual,0.0
lh_inferiortemporal-rh_medialorbitofrontal,0.0
lh_inferiortemporal-rh_middletemporal,0.0
lh_inferiortemporal-rh_parahippocampal,0.0
lh_inferiortemporal-rh_paracentral,0.0
lh_inferiortemporal-rh_parsopercularis,-0.0
lh_inferiortemporal-rh_parsorbitalis,-0.0
lh_inferiortemporal-rh_parstriangularis,-0.0
lh_inferiortemporal-rh_pericalcarine,-0.0
lh_inferiortemporal-rh_postcentral,0.0
lh_inferiortemporal-rh_posteriorcingulate,0.0038441905680999854
lh_inferiortemporal-rh_precentral,0.0
lh_inferiortemporal-rh_precuneus,0.0
lh_inferiortemporal-rh_rostralanteriorcingulate,0.0
lh_inferiortemporal-rh_rostralmiddlefrontal,-0.0
lh_inferiortemporal-rh_superiorfrontal,0.0
lh_inferiortemporal-rh_superiorparietal,-0.0
lh_inferiortemporal-rh_superiortemporal,-0.0
lh_inferiortemporal-rh_supramarginal,-0.005396615410208394
lh_inferiortemporal-rh_frontalpole,0.0
lh_inferiortemporal-rh_temporalpole,0.0
lh_inferiortemporal-rh_transversetemporal,0.0
lh_inferiortemporal-rh_insula,0.0
lh_isthmuscingulate-lh_lateraloccipital,0.0
lh_isthmuscingulate-lh_lateralorbitofrontal,-0.0
lh_isthmuscingulate-lh_lingual,0.0
lh_isthmuscingulate-lh_medialorbitofrontal,-0.0
lh_isthmuscingulate-lh_middletemporal,-0.0
lh_isthmuscingulate-lh_parahippocampal,-0.0
lh_isthmuscingulate-lh_paracentral,-0.0
lh_isthmuscingulate-lh_parsopercularis,-0.0
lh_isthmuscingulate-lh_parsorbitalis,-0.0
lh_isthmuscingulate-lh_parstriangularis,0.0
lh_isthmuscingulate-lh_pericalcarine,0.0
lh_isthmuscingulate-lh_postcentral,0.0
lh_isthmuscingulate-lh_posteriorcingulate,0.0
lh_isthmuscingulate-lh_precentral,0.0
