Row,Component_1,Component_2,Component_3
lh_cuneus-lh_entorhinal,1.55420781135932e-06,1.87567753863381e-05,-9.14985617294306e-06
lh_cuneus-lh_fusiform,-4.57509884581394e-06,1.02093579193649e-05,-2.77992004368426e-05
lh_cuneus-lh_inferiorparietal,-4.63265013172402e-06,5.72576693061178e-06,-4.23067248091154e-05
lh_cuneus-lh_inferiortemporal,-4.74947267262349e-06,8.29694099501438e-06,-3.6790240091005e-05
lh_cuneus-lh_isthmuscingulate,-7.37155072082301e-06,-6.13676610501874e-06,-3.85298938552484e-05
lh_cuneus-lh_lateraloccipital,-1.04166870772537e-05,-1.50324915564905e-05,-6.74254643144929e-05
lh_cuneus-lh_lateralorbitofrontal,-5.96066414626639e-06,4.19853683954205e-06,-4.62629059946154e-05
lh_cuneus-lh_lingual,-7.12524635558417e-06,-3.48916013451425e-06,-2.41576977832384e-05
lh_cuneus-lh_medialorbitofrontal,-4.81719889533661e-06,1.05807635303603e-05,-1.62021519287051e-05
lh_cuneus-lh_middletemporal,-3.58611581500325e-06,9.27784046911739e-06,-4.48233892991582e-05
lh_cuneus-lh_parahippocampal,-8.57908269508031e-06,-7.21836790807937e-06,-4.3835915065449e-05
lh_cuneus-lh_paracentral,9.84778729543556e-07,1.49377690960644e-05,-2.03229978385905e-05
lh_cuneus-lh_parsopercularis,2.50847943926006e-06,2.01735591978421e-05,-2.31198948798545e-05
lh_cuneus-lh_parsorbitalis,-2.08399411020032e-06,1.24046675552298e-05,-3.17421600067204e-05
lh_cuneus-lh_parstriangularis,-2.97958441062572e-06,9.60942966703332e-06,-3.73853237913337e-05
lh_cuneus-lh_pericalcarine,-4.34497018358146e-07,1.22389341292348e-05,3.64419862468933e-05
lh_cuneus-lh_postcentral,-2.68988189263482e-06,8.09335821045492e-06,-3.21459084511379e-05
lh_cuneus-lh_posteriorcingulate,-1.57580531172495e-05,-1.33320936726497e-05,-4.77022919604607e-05
lh_cuneus-lh_precentral,8.05966197569067e-06,2.82831933548365e-05,-1.47259337869451e-05
lh_cuneus-lh_precuneus,9.08874406916408e-07,1.99506486670626e-05,-8.5694502237723e-06
lh_cuneus-lh_rostralanteriorcingulate,-1.56452035408594e-05,-6.22229609628737e-06,-2.94173750850824e-05
lh_cuneus-lh_rostralmiddlefrontal,-5.13853155866602e-06,7.37842619507268e-06,-3.94995545234685e-05
lh_cuneus-lh_superiorfrontal,-8.25185582391055e-07,1.54117609382816e-05,-3.12494127274321e-05
lh_cuneus-lh_superiorparietal,-2.34601472874015e-06,1.04375512389737e-05,-2.70765347592593e-05
lh_cuneus-lh_superiortemporal,4.60390893643688e-06,2.87987634405087e-05,-5.09477678000425e-06
lh_cuneus-lh_supramarginal,7.48135402128915e-07,1.81772504954579e-05,-2.66476919826982e-05
lh_cuneus-lh_frontalpole,-8.64943888770796e-06,-3.2904053524875e-06,-3.56125449056333e-05
