Row,Component_1,Component_2
lh_caudalmiddlefrontal-rh_postcentral,2.66725530939349e-05,5.27321968203614e-05
lh_caudalmiddlefrontal-rh_posteriorcingulate,9.87529843852032e-07,3.34027947753838e-05
lh_caudalmiddlefrontal-rh_precentral,-5.13878566692022e-06,2.11022167934483e-05
lh_caudalmiddlefrontal-rh_precuneus,4.04521819423861e-06,-7.25685780382374e-06
lh_caudalmiddlefrontal-rh_rostralanteriorcingulate,-2.46665415694758e-05,4.00482651161337e-06
lh_caudalmiddlefrontal-rh_rostralmiddlefrontal,4.63260529351708e-06,1.37151407292861e-05
lh_caudalmiddlefrontal-rh_superiorfrontal,-2.495390745929e-05,-8.83660938924857e-06
lh_caudalmiddlefrontal-rh_superiorparietal,2.37890733698503e-05,3.09404168855931e-05
lh_caudalmiddlefrontal-rh_superiortemporal,-1.28214722115072e-05,2.34939880475636e-05
lh_caudalmiddlefrontal-rh_supramarginal,-2.34814364840587e-05,-2.95898976520401e-05
lh_caudalmiddlefrontal-rh_frontalpole,-2.00518477548506e-05,-1.17536910406668e-05
lh_caudalmiddlefrontal-rh_temporalpole,8.172671904154e-06,1.74847954806236e-05
lh_caudalmiddlefrontal-rh_transversetemporal,-2.64295789738201e-06,-5.38725414212011e-06
lh_caudalmiddlefrontal-rh_insula,5.9866612124242e-06,1.92746909889941e-05
lh_cuneus-lh_entorhinal,3.47324874228969e-05,3.74521555994547e-05
lh_cuneus-lh_fusiform,2.17690959505561e-05,-6.75900578640093e-06
lh_cuneus-lh_inferiorparietal,2.19861980539704e-05,-2.6506524334241e-05
lh_cuneus-lh_inferiortemporal,2.10737519248219e-05,-1.81923844187531e-05
lh_cuneus-lh_isthmuscingulate,-5.16323942399186e-06,-5.08040614836807e-05
lh_cuneus-lh_lateraloccipital,-7.33123510797194e-06,-7.62274763374986e-05
lh_cuneus-lh_lateralorbitofrontal,1.74702346071162e-05,-4.04394389845051e-05
lh_cuneus-lh_lingual,-1.6972961726626e-05,-7.16140625130681e-05
lh_cuneus-lh_medialorbitofrontal,1.25933849844504e-05,-3.91537978834362e-05
lh_cuneus-lh_middletemporal,3.02842983059053e-05,-1.58141548710517e-06
