,Component_1,Component_2,Component_3,Component_4,Component_5
lh_bankssts-lh_pericalcarine,-0.002727500229900965,0.022682586780449807,0.024907026505042652,-0.026220307919592196,0.01330000339995019
lh_bankssts-lh_postcentral,0.023256039892095928,0.009636834739114863,-0.001990727744241383,-0.014125106191300868,0.007544321717400137
lh_bankssts-lh_posteriorcingulate,0.008265183055594687,0.02081080622275606,-0.024809518110605153,0.00983028648122338,-0.03758755997516008
lh_bankssts-lh_precentral,0.028821416673416454,-0.0036760365117472146,-0.007502102925271002,-0.015885936504879513,-0.007955994019731103
lh_bankssts-lh_precuneus,0.03298201842208562,-0.008621083385254063,0.0056482436559172865,-0.005845876624755219,0.006710279959924628
lh_bankssts-lh_rostralanteriorcingulate,0.038396415341140355,-0.0006811975426938165,-0.02427133976429408,-0.03900644807234221,-0.035515709919245096
lh_bankssts-lh_rostralmiddlefrontal,0.02567256442487016,-0.0035246680797982603,-0.0012444586265958066,-0.013625853562182393,-0.0019338950167333091
lh_bankssts-lh_superiorfrontal,0.03735437610139875,-0.012594829730076397,0.003336302852784488,-0.018610961797341976,-0.012267553295999498
lh_bankssts-lh_superiorparietal,0.017151926498788588,0.01153624431422087,0.0006731566699315645,0.0028602883371289696,0.03195962977792621
lh_bankssts-lh_superiortemporal,0.03032551831603255,-0.003460588057510362,0.00147041725603822,-0.006418061857839124,0.00589196951384394
lh_bankssts-lh_supramarginal,0.0346036809632397,-0.011436877198743728,0.002913406325207624,-0.010875050431462838,-0.005469126486389879
lh_bankssts-lh_frontalpole,0.03734644689411749,-0.011416712876106924,0.003748888587401157,-0.021130500900993523,0.0077442632524732154
lh_bankssts-lh_temporalpole,0.02389833660348547,0.007501769345736409,0.012023767091801564,-0.004501780772181822,-0.034812237719922104
lh_bankssts-lh_transversetemporal,0.020347182194241465,-0.002933735880747233,-0.0032922316162722976,-0.016458275159686526,-0.012779825461790364
