,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6
lh_bankssts-rh_medialorbitofrontal,0.03598092145032756,-0.008237437923824054,0.008208221531127968,0.016261537331338127,-0.004713053491089503,0.013239284314381686
lh_bankssts-rh_middletemporal,0.03384983750902927,-0.009179117351716724,0.009343073635169516,0.011311246343722584,-0.005822477055926287,0.02076729343831956
lh_bankssts-rh_parahippocampal,0.026226480282710154,-0.0011246851225892702,-0.007384378128583816,0.01800163610088629,0.013773062495312257,0.007314721080674707
lh_bankssts-rh_paracentral,0.032272847186532776,-0.005546242291800691,-0.0004085458005248521,0.0055021198425882645,-0.002415563647941853,-0.00024627234127425177
lh_bankssts-rh_parsopercularis,0.026643431623327017,-0.006597479718645096,0.007239069793848344,-0.0023682837199633607,-0.025342383294270316,-0.02711711928166621
lh_bankssts-rh_parsorbitalis,0.032305889063578896,-0.004163075195368524,0.0035801306320951427,0.018908177581435148,-0.011519043987898785,0.0055419021667137
lh_bankssts-rh_parstriangularis,0.03079644834489464,-0.0029372026839931636,-0.0006812458175365581,0.018446821012306124,-0.0007755533459639955,-8.551785992265873e-06
lh_bankssts-rh_pericalcarine,-0.0030964282115245865,0.013309002877566296,0.04162741238136632,0.012369833898610443,-0.013992064991546548,-0.0015789514374539109
lh_bankssts-rh_postcentral,0.020031198110755988,0.010079383727316892,0.005415938367367394,0.0046926961938921,-0.016403709663865267,0.016774591400281265
lh_bankssts-rh_posteriorcingulate,0.00810897779046846,0.021034499753966478,-0.020365466521498354,-0.008413013112873275,0.0400076306742005,0.037364506395338386
