,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10
lh_caudalanteriorcingulate-lh_cuneus,-0.010575527356278046,-0.009500278390619826,-0.02714794027312525,0.018184459145876655,0.011666777288551559,0.018025732482298468,0.005960488236813103,-0.017969022553519492,-0.006743353340740775,0.02968672575349692
lh_caudalanteriorcingulate-lh_entorhinal,-0.017606147499899822,0.029326004279899363,-0.003262826763283713,-0.018652263671679273,0.010053671338226731,0.0019098261567538392,-0.02518880711978678,-0.0014656311839926922,-0.02428712739490627,0.018111023427561393
lh_caudalanteriorcingulate-lh_fusiform,-0.017832580952904926,0.031139953579073745,-0.002693626565429239,-0.05424427880074388,0.00282161297829297,0.004942847319894308,-0.027093809800628112,0.01547728212018723,-0.02567497579289451,0.023667976937544764
lh_caudalanteriorcingulate-lh_inferiorparietal,-0.016069734577759936,0.04068241996686121,0.0004832384057604671,-0.04702404398002254,0.0046112103275857035,0.011905106675757407,-0.01974298295618528,0.02315842790309276,-0.01399825450725859,0.0339465670943781
lh_caudalanteriorcingulate-lh_inferiortemporal,-0.017692497225619136,0.033574156995098574,-0.0028201287679941343,-0.04009016212063266,0.008280652640940044,0.0036238320982962184,-0.024191126078948317,0.01394097663701834,-0.017150518036020593,0.03020663314478559
lh_caudalanteriorcingulate-lh_isthmuscingulate,-0.02425964605039069,-0.001695897575361521,-0.008472076982852302,-0.01176232933026212,0.006085948929209011,0.0028166559653649602,-0.005380736291816323,0.0037859836576526877,-0.02020218215199891,0.005051793805228653
lh_caudalanteriorcingulate-lh_lateraloccipital,-0.02327326669184409,0.015441398854895243,-0.014316909105629714,-0.02194113832880991,0.0023594812958776554,0.00756754027791127,-0.015603208509078252,-0.007918279185141026,-0.01642918489084624,0.04106759028510421
lh_caudalanteriorcingulate-lh_lateralorbitofrontal,-0.019210211755807664,0.032892817209247464,0.0034082417912034545,-0.03239060500448666,0.01131063850046458,0.007758573074411206,-0.024218717096911677,0.00882812742349091,-0.03671258785269384,0.020910227083829048
lh_caudalanteriorcingulate-lh_lingual,-0.020399117712806735,-0.0013315292040077132,-0.018490370890303573,0.009394834115786132,0.023164344437832954,0.02000345068888515,0.001787738069839241,-0.003373322762794169,-0.007125595508543407,-0.005504551929201778
lh_caudalanteriorcingulate-lh_medialorbitofrontal,-0.023804416953441425,0.03171313420200498,-0.005117444416920966,-0.021088370951772645,0.012020304277261279,0.0084181727915401,-0.01702138431850219,0.001196966789831486,-0.011207388236995627,0.028204179352892485
lh_caudalanteriorcingulate-lh_middletemporal,-0.02503575477181301,0.028259734814627017,-0.010023210733540434,-0.04321915197804071,-0.002085330465867741,-0.014975742726288807,-0.030174267648948195,-0.0077309993107717075,-0.02871354373017975,0.012568867016726064
lh_caudalanteriorcingulate-lh_parahippocampal,-0.009548822767505336,0.04213896423237898,0.002641765702668291,-0.02522357775665641,0.019890214867902135,0.0004463422454354461,-0.026542946970236642,-0.0057956991543905495,-0.038938946676440114,0.012982123454722992
lh_caudalanteriorcingulate-lh_paracentral,-0.024469475158428528,0.035164580771230435,-0.0019528889835512381,-0.03222501885595089,0.000833290614221242,0.0012384818721599751,-0.023468321581965323,0.00979264081398779,-0.019594240098498975,0.014495610269227027
lh_caudalanteriorcingulate-lh_parsopercularis,-0.00835495124395679,0.04855599660609866,0.007879882685598427,-0.04060206007503691,0.004823788703923154,0.0029308939805540125,-0.02874103780441349,0.012510229700495772,-0.02668622013053524,0.028132605313837652
lh_caudalanteriorcingulate-lh_parsorbitalis,-0.01568806242449273,0.04431481561459795,-0.002043054803276513,-0.028868926926435175,-6.216545789109587e-05,0.008297057184606271,-0.021555823008142936,0.008835542198099922,-0.005798749033743561,0.02290133596789458
lh_caudalanteriorcingulate-lh_parstriangularis,-0.017113337047127412,0.04302533147834719,0.002206224239392481,-0.0313388333481735,0.015028129450123745,0.009563153417930821,-0.02344110893926227,0.013686093460450134,-0.014274650387527643,0.03521582785907027
lh_caudalanteriorcingulate-lh_pericalcarine,-0.00020083981358751368,-0.034274863191246965,-0.031990910840578146,0.02996982660918548,0.01707845501090908,0.0065184869415561624,0.00853942489554341,-0.022619466878779693,0.027430721224694754,0.01880765358676469
