,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9
IC2-IC21,0.022714986847839135,-0.06854342483072888,-0.08086117443239581,0.07600060815818278,0.07314355385482932,-0.09051677081809326,0.026394871915514408,0.021957311865277367,-0.030094553650529127
IC3-IC4,-0.029252109800573856,0.034946878295387895,-0.008360279855851178,-0.08654351319654152,0.16501110417123757,0.025060124825969258,0.0589546635170602,-0.13062153872685417,0.024406191944136478
IC3-IC5,-0.025400645905124,-0.022724259088395045,0.009581697030357505,0.08681667811155863,0.07463952753212869,0.02248529960763291,0.02818100928339297,0.012509454719851019,0.061297304464295294
IC3-IC6,-0.017231824284945935,-0.01143602245126561,-0.0037961548972233103,0.05569335882364267,0.10095807380024624,0.04142697203977702,-0.01221390045478432,-0.013688630907085038,-0.009023840064197897
IC3-IC7,-0.05552764707445855,0.002243330576437073,0.055100858629817284,0.05601147909377309,0.05909672105021208,0.15152371779529894,0.0055048839098997444,-0.021222153543961928,-0.10738838541003876
IC3-IC8,-0.07375166264613944,-0.024477029355046687,0.033172732938540554,-0.03750759426956474,0.18916156723700459,0.016954851739414557,0.0709014912132623,-0.040696457745573233,0.039949251922155586
IC3-IC9,0.03432961863710319,-0.15013688234578113,-0.016552124721241096,0.04627053247594612,-0.02947355340989095,-0.08402646660613818,-0.017891320589909453,0.07829579089024574,-0.012429065698464895
IC3-IC10,-0.0032097129745764378,0.020649238345972588,0.02160465514804098,0.057511427161980044,-0.03918854243630465,-0.06306911077357201,0.02866693956868095,0.04678850066257395,-0.0157388239777889
IC3-IC11,-0.04222158916163783,0.07728222934863108,0.026124053056321563,-0.07814201028579065,-0.00720307718256142,-0.019983418381834983,0.016669189355599776,0.049904996649715726,-0.028938112437834115
IC3-IC12,-0.0045319346032442484,-0.032131683897455035,-0.05074109573379577,0.009913462547344772,0.024589480578646978,0.1277667238808005,-0.045043594205344636,-0.02120495848891334,-0.15147102281521863
IC3-IC13,0.012564419350251476,-0.011000252672379798,-0.010101175523818331,-0.03471227165291562,0.12932984424290203,0.05596520947485164,-0.04980278481302688,0.039472203035552406,0.13037046984019018
IC3-IC14,-0.04780929923128109,0.007885893765238832,0.008362732741052703,0.04592354133444267,-0.01131401605761721,-0.06328858618353007,0.04165595446222609,0.0663208767610148,0.004919010364879453
IC3-IC15,-0.001861661065543669,-0.006803291617281531,-0.0277725767787092,0.058722382646789334,0.02382659255756684,-0.05273760038044109,0.002364650915716958,0.14355894066380895,0.013908269116796233
IC3-IC16,-0.02684478064287205,0.047739458946896615,-0.026359291161285395,-0.01274976572500266,-0.020655219450522323,0.02040875154811305,-0.011868270815503668,0.05180579559150743,-0.07292481140939527
IC3-IC17,-0.011935323565851747,0.004900050413214783,0.08800078157666198,-0.02371854441414154,0.08977660774522475,0.07139802456592909,-0.02854168803701589,0.05523728568235531,-0.07263184570902019
IC3-IC18,0.02871879584374983,-0.09217684366732223,-0.02584797829890561,0.039602552425095264,0.06013008926634934,-0.03685596465052701,-0.05021405163542608,0.0437496374748939,-0.09842772816877694
IC3-IC19,-0.06938200808425853,0.16647556645956627,-0.011353310283590375,0.019943350695087916,0.022137558322116592,0.05453407565290863,-0.038696331424451134,-0.02963639988011353,-0.05118599865376079
IC3-IC20,0.03431213789477016,-0.0011890917784470054,-0.01121106851736403,0.05501088386224247,-0.02620719993884608,-0.07763039008313845,-0.06168756503042952,0.030217883736284028,-0.06239191253332068
IC3-IC21,-0.030544029369281446,0.12012388617681606,0.036755983361025674,-0.15412483935334909,0.037645497777260284,-0.08187126121185707,-0.038608587496591774,0.05280410539114084,-0.07217474692149223
IC4-IC5,0.12137069088699941,-0.08687018884798338,0.038967967953844766,-0.008597228487514385,-0.0436535229499962,0.20532673177785993,-0.07048392865606538,0.1596342800232623,0.0206317412288711
IC4-IC6,0.03029139313051846,0.07375936885424558,-0.08047322649243037,-0.05589920152434041,0.09370918724917966,0.011420532278617076,-0.04954994807313686,-0.08398488355000372,0.20198861021550218
IC4-IC7,0.01838885149014272,0.01682301073647146,-0.056078334672877116,-0.0067366359629410025,-0.022728608763489463,-0.1105847200488455,-0.05572494836492291,0.048646858252724946,-0.04243996645858165
IC4-IC8,0.011615901714424663,0.008477354377031726,-0.11174015188808499,-0.02689329095645909,-0.025016136543275412,-0.1223030176344491,-0.0844970254388214,0.10518490410748309,-0.00898879983950996
IC4-IC9,0.04653016420737951,0.03753614057627583,-0.07264787327157143,-0.022947981434425918,-0.013627081681495427,-0.004923299108681499,-0.021578336810436735,-0.005980526891965161,0.01003520675461024
IC4-IC10,-0.04143982415477723,0.016364276345114396,0.061507273176279534,-0.0965738788720392,0.14291005692619543,0.06488702520170157,-0.05221493043312256,0.013519127361506903,0.007296668366794913
IC4-IC11,-0.006729865669786902,-0.08663448511079626,0.10243427633256573,0.12025452555425861,0.03858131633604344,-0.0007831181926990678,0.042377678665798356,0.0023766570604180424,-0.08252548363471959
IC4-IC12,0.0047212723945798795,0.2014062528591106,-0.008695506391801557,0.02532707192829574,-0.007606973660873579,0.027460887027484178,-0.06286428165822823,-0.05218501633559331,-0.07141260249240063
IC4-IC13,-0.049233261629574365,0.12583242291988792,-0.09053592252949948,-0.044907197082640155,-0.0914772389919058,0.0005187224053835697,-0.1264479391165686,0.03184539022062916,0.027513028586740935
IC4-IC14,0.019645274754495432,0.05430444218242142,-0.09314613864294471,-0.01064683385913861,-0.014530077659408638,-0.003057381734831661,0.06874715759487036,-0.0387767746509999,0.03534888125606829
IC4-IC15,-0.033873834177225094,-0.0255787326223776,-0.05410737190406582,0.0441135520362109,0.06589694460940627,-0.008304820300362689,0.004949949417076945,-0.08138307879166906,0.14763057520329875
IC4-IC16,-0.017118707684021735,-0.003301655003180709,-0.06843653174059172,0.11084354182209269,0.08889237347237437,0.022137878522977647,0.049824037624561696,0.052770642243463346,0.04199519115024028
IC4-IC17,-0.01992600682095814,0.04303749043889711,-0.0014536650029269523,-0.11271171607174711,0.11707794383895992,0.0276658542559588,0.03773975369104401,0.05953737381010533,0.01495065657302187
IC4-IC18,0.006020769658249451,0.03757034551479789,-0.11493157889015487,0.12246176614026409,0.06597931154565091,0.062062549372577935,-0.01326698712876849,0.0487003374702258,0.00838742143827072
IC4-IC19,-0.0003954759012007346,-0.008974732786016022,-0.00777085239195218,-0.06705455442143986,0.017995871432925893,-0.1438486978004586,-0.04191629430851144,0.014547515909419897,-0.07107434372209054
IC4-IC20,-0.022443569445967607,0.027413335612277077,-0.055762789633857605,0.15522836794645312,0.11011538702114144,0.047840051646727846,-0.03644457928757988,0.041715192362121345,0.03315346408775483
IC4-IC21,-0.003122017503014503,-0.02435807507558811,0.059206223342283634,-0.049177688301599395,0.1119958234851722,0.05720018733156686,-0.02448701837252156,0.03243275545137442,-0.09339078665308599
IC5-IC6,0.07780364300236116,-0.06012034565540442,0.024450918063218596,-0.05695589734572024,-0.06726702631327579,0.07312309256678358,0.08791282748441111,0.0410158326687604,-0.025689792300551403
IC5-IC7,-0.02317750074531163,0.03319966399810564,-0.0752568336576549,0.046405352717393225,0.08439200758012746,0.0459803163028837,0.029319427547428046,-0.008650301961545596,0.027638980162589782
IC5-IC8,-0.023290953384488788,0.06407199179561235,-0.025297160901275872,0.03659834115511271,-0.0041622169882789195,-0.01691809800731603,0.040451232585029195,0.06448679610601002,-0.028903662113217033
IC5-IC9,0.015912239684693522,0.03888605199224534,-0.11450835669605938,-0.038721934538590685,-0.033004205950665666,-0.027370527191383377,0.04257308070328584,0.019448253934390026,-0.004856513614891116
IC5-IC10,-0.003414602851067718,-0.06553677197406077,0.1279949348015115,-0.03039729940804096,-0.08037176489037783,0.014418000704121015,0.07008588333324094,-0.06575802339329453,-0.06250009800903072
IC5-IC11,0.022700486284810008,-0.008072454116821648,0.03461914435503842,-0.13036826758645623,0.046335011420336504,-0.10157530547778178,-0.05670339165014779,0.10849245776897122,-0.009079502658493171
IC5-IC12,-0.016372425871223728,0.009705452343802011,-0.08090535896554116,-0.057514241438968994,0.02897072000933081,-0.12125139716601968,0.08337629743010551,-0.001411448217041084,-0.02513508527223658
IC5-IC13,0.015926834541121395,-0.057468063309266904,-0.01393301435259858,-0.035630011219277176,0.048442023621677044,-0.07428171688092187,-0.05405231323312488,-0.07602785377574203,0.08961949819005736
IC5-IC14,0.008848493137748048,0.006139714326860534,0.03656786623928872,0.04667830304065375,-0.027403895460880772,-0.021616427005786337,-0.009124601665580078,0.01570053177859904,-0.005671179062757549
IC5-IC15,0.0476134494001022,0.007721912884756546,-0.03959406844885699,0.05717448780923037,0.03750708198045808,0.07754139669138523,0.0728191561973838,0.0015981325592982223,-0.0476627082024075
IC5-IC16,0.042714471863944864,0.005616653303776363,0.03200016769711018,-0.010722766935691469,0.026938498452387338,-0.09392757942656622,0.03477055248204202,0.08402022037847363,0.00033519585101709115
IC5-IC17,-0.012741729365290893,-0.008996574376593644,0.0873911561774608,-0.03284162651000838,0.013824029380357794,-0.009763592306275663,-0.056927045462114564,-0.007209226739034377,0.05763417095542984
IC5-IC18,-0.044701218963226,0.053513647083146064,-0.04403361455101808,0.13716835610738495,0.09911112379152193,0.13367281145956728,-0.0894855908553311,0.061915615281229686,-0.0433575610397578
IC5-IC19,0.037335153846022706,-0.07708201814708784,-0.013514117567721652,-0.0016002180114527541,0.039383222616773315,0.003739410260397057,-0.06757265964751859,0.05078657662986243,-0.0657709704694938
IC5-IC20,0.13210609910883808,-0.058379386061482956,-0.027422043155285677,-0.01849734366752994,-0.05111907353196966,0.050221516895660734,-0.06095979094649634,0.07482903534974285,-0.07806528398487053
IC5-IC21,0.07738826870701955,-0.08891293643882103,-0.010153592049213803,0.006435736856671039,-0.08484393457349648,0.014087583821252792,0.009263671003246592,-0.022058640162220065,-0.0870369439318622
IC6-IC7,-0.05284830495005949,-0.08793178752157672,-0.05464257574983842,0.09007431622651083,0.06962576477992354,-0.042053595346004426,0.0893134184431643,0.12287753745327164,0.04717491288108952
IC6-IC8,-0.01204687220333443,-0.021060969054555904,-0.06933289225196888,0.04378143443375932,0.0604408517226708,-0.096925130780062,-0.08799235825688176,-0.06557035229476406,-0.1544094395279841
IC6-IC9,-0.014995034019776865,-0.09137892845382997,0.07540531523334004,-0.015713659439224047,0.15435916813557177,-0.08542203276382321,0.015800605941356623,3.264260952702275e-05,0.04857505747288583
IC6-IC10,0.0023127212341664764,0.04296286836234681,0.012502392877977653,0.025792152851572804,0.0020799645413378284,0.016050920529304794,0.18089769133815373,0.0831841936286038,0.07289711274498814
IC6-IC11,0.045369262459428086,-0.06161829692059379,0.008794307375183415,-0.041202977748566204,-0.031835544618891994,-0.06416220986785963,-0.07698666842946747,-0.07065029943065192,0.01575005838836511
